Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,RE24,Pos,cWPA,RE24,Pos
Jul 12 (1),NYY,,CHW,L0-5,CG,4,4,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0.347,0.369,0.615,0.984,3,0.72,-0.069,2.67,-0.15%,-1.04,LF,-0.15%,-1.04,LF
Jul 12 (2),NYY,,CHW,W5-4,CG,4,4,0,1,0,0,0,0,0,0,1,0,0,,0,,0,0,0.346,0.368,0.61,0.977,3,0.87,-0.08,3.75,-0.21%,-1.31,LF,-0.21%,-1.31,LF
13-Jul,NYY,,CHW,L3-6,CG,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,,0,0,0.342,0.366,0.603,0.969,3,1.32,-0.063,5.06,-0.14%,-0.29,LF,-0.14%,-0.29,LF
Jul 15 (1),NYY,,DET,L1-5,CG,5,5,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0.337,0.36,0.593,0.953,3,1.08,-0.123,6.05,-0.41%,-1.75,LF,-0.41%,-1.75,LF
Jul 15 (2),NYY,,DET,W7-4,CG,5,3,2,2,1,0,0,0,1,0,0,1,0,,0,,0,0,0.34,0.367,0.597,0.964,3,0.96,0.106,6.24,0.41%,2.1,LF,0.41%,2.1,LF
16-Jul,NYY,,DET,W5-2,CG,4,4,1,2,1,0,0,1,0,0,0,0,0,,0,,0,0,0.342,0.369,0.599,0.968,3,0.56,0.086,3.2,0.30%,0.8,LF,0.30%,0.8,LF
17-Jul,NYY,,DET,W9-4,CG,4,3,1,0,0,0,0,0,1,0,0,0,0,,0,,0,0,0.339,0.367,0.594,0.961,3,0.29,-0.008,1.55,-0.02%,-0.91,LF,-0.02%,-0.91,LF
Jul 18 (1),NYY,,SLB,L2-7,CG,4,3,0,1,0,0,0,0,1,0,1,0,0,,0,,0,0,0.339,0.369,0.591,0.96,3,0.65,0.039,2.35,0.08%,-0.08,LF,0.08%,-0.08,LF
Jul 18 (2),NYY,,SLB,W15-4,CG,6,4,3,2,2,0,0,1,1,0,0,0,1,,1,,1,0,0.341,0.372,0.596,0.969,3,0.53,0.151,2.28,0.39%,2.67,LF,0.39%,2.67,LF
Jul 19 (1),NYY,,SLB,W10-3,CG,5,5,1,2,1,0,0,0,0,0,1,0,0,,0,,0,0,0.342,0.373,0.596,0.969,3,0.29,-0.011,1.14,-0.03%,-0.24,LF,-0.03%,-0.24,LF
